,SAP_ProductID,LongDescr,Manufacturer,,,,,,,
WIT,,,Manufacturer,,,,,,,
B4051240GR6036C,7B4051-240.GR6036C,60 X 36 SHOWER BASE - CEN,Trumbull,,,,,,,
NEO-ANGLE SHOWER PANS,,,,,,,,,,
B6000240LN3636C,7B6000-240.LN3636C,"Neo 36"" Biscuit Base",ABG,,,,,,,
B6001221LN3838C,7B6001-221.LN3838C,"Neo 38"" Biscuit Base",ABG,,,,,,,
B6003221LN4242C,7B6003-221.LN4242C,"Neo 42"" Biscuit Base",ABG,,,,,,,
B6004221WH3636C,7B6004-221.WH3636C,"Neo 36"" White Base",ABG,,,,,,,
B6005221WH3838C,7B6005-221.WH3838C,"Neo 38"" White Base",ABG,,,,,,,
B6007221WH4242C,7B6007-221.WH4242C,"Neo 42"" White Base",ABG,,,,,,,
CADDIES/SHELVES/PODS,,,,,,,,,,
ACRYLIC CORNER SHELVES,,,,,,,,,,
7C0000220WH0110,7C0000-220.WH0110N,Acrylic Corner Shelves White,ASHS,,,,,,,
7C0001220LN0110,7C0001-220.LN0110N,Acrylic Corner Shelves Linen,ASHS,,,,,,,
7C0004220RS0110,7C0004-220.RS0110N,Acrylic Corner Shelves Roman Stone,ASHS,,,,,,,
7C0005220SV0110,7C0005-220.SV0110N,Acrylic Corner Shelves Silver Vein,ASHS,,,,,,,
7C0006220TS0110,7C0006-220.TS0110N,Acrylic Corner Shelves Tibur Stone,ASHS,,,,,,,
7C0008220VM0110,7C0008-220.VM0110N,Acrylic Corner Shelves Vienna Mist,ASHS,,,,,,,
ACRYLIC SOAPDISHES,,,,,,,,,,
STORAGE PODS,,,,,,,,,,
7C5003250SS1414,7C5003-250.SS1414N,Storage Pod SS 14x14,ASHS,,,,,,,
7C5037250MB1414,7C5037-250.MB1414N,Storage Pod MB 14x14,ASHS,,,,,,,
SOLID SURFACE CORNER SHELVES,,,,,,,,,,
7C6000240WH0710,7C6000-240.WH0710N,SS Corner Shelf White ,Trumbull,,,,,,,
7C6001240CE0710,7C6001-240.CE0710N,SS Corner Shelf Cameo,Trumbull,,,,,,,
7C6003240GG0710,7C6003-240.GG0710N,Grey Garden - CORNER SHELVES,Trumbull,,,,,,,
7C6004240WR0710,7C6004-240.WR0710N,White Reef- CORNER SHELVES,Trumbull,,,,,,,
7C6005240BM0710,7C6005-240.BM0710N ,Bitusa Marble - CORNER SHELVES,Trumbull,,,,,,,
METALLIC CORNER BASKETS,,,,,,,,,,
7C0100250CH1012,7C0100-250.CH1012N,Metal Shelf CH,ASHS - AE,,,,,,,
7C0101250BN1012,7C0101-250.BN1012N,Metal Shelf BN,ASHS - AE,,,,,,,
7C0102250LB1012,7C0102-250.LB1012N,Metal Shelf LB,ASHS - AE,,,,,,,
7C0103250MB1012,7C0103-250.MB1012N,Metal Shelf MB,ASHS - AE,,,,,,,
TEAK CORNER SHELVES AND SHAMPOO SHELVES,,,,,,,,,,
C0101250BN1408N,7C0101-250.BN1408N,Corner Shelf Teak BN,ASHS - Seachrome,,,,,,,
C0100250CH1408N,7C0100-250.CH1408N,Corner Shelf Teak CH,ASHS - Seachrome,,,,,,,
C0102250MB1408N,7C0102-250.MB1408N,Corner Shelf Teak MB,ASHS - Seachrome,,,,,,,
